Population,Sample,Coverage,Batch,SynDerivedAlleles,Site,Total_MISS,Homozygotes_MISS,Heterozygotes_MISS,Total_MISS_Standardized,Homozygotes_MISS_Standardized,Heterozygotes_MISS_Standardized
QUA,Sample19,17,New,1650,lower,239,128,111,0.144848484848485,0.0775757575757576,0.0672727272727273
QUA,Sample20,19,New,1392,lower,263,190,73,0.188936781609195,0.136494252873563,0.0524425287356322
QUA,Sample21,20,New,1324,lower,248,154,94,0.187311178247734,0.11631419939577,0.0709969788519638
QUA,Sample22,28,New,1030,lower,211,118,93,0.204854368932039,0.114563106796117,0.0902912621359223
QUA,Sample01,11,New,2673,upper,767,446,321,0.286943509165731,0.166853722409278,0.120089786756453
QUA,Sample02,11,New,2871,upper,804,450,354,0.280041797283177,0.156739811912226,0.123301985370951
QUA,Sample03,11,New,2648,upper,765,470,295,0.288897280966767,0.177492447129909,0.111404833836858
QUA,Sample04,13,New,2778,upper,830,530,300,0.298776097912167,0.190784737221022,0.107991360691145
QUA,Sample05,13,New,2660,upper,750,424,326,0.281954887218045,0.159398496240602,0.122556390977444
QUA,Sample06,14,New,2767,upper,814,466,348,0.294181423924828,0.168413444163354,0.125767979761475
QUA,Sample07,14,New,2373,upper,668,368,300,0.281500210703751,0.155077960387695,0.126422250316056
QUA,Sample08,15,New,2185,upper,586,284,302,0.268192219679634,0.129977116704806,0.138215102974828
QUA,Sample09,15,New,2275,upper,569,264,305,0.25010989010989,0.116043956043956,0.134065934065934
QUA,Sample10,16,New,2784,upper,828,476,352,0.297413793103448,0.170977011494253,0.126436781609195
QUA,Sample11,17,New,2664,upper,725,396,329,0.272147147147147,0.148648648648649,0.123498498498499
