Sample,Population,Coverage,Batch,Total,Homozygotes,Heterozygotes,Island,Region
Sample21,QUA,20,New,0.00446917360618395,0.00199783412375369,0.00247133948243026,Trinidad,Oropouche
Sample22,QUA,28,New,0.00448044422984066,0.00175084500241429,0.00272959922742636,Trinidad,Oropouche
Sample01,ROX,13,Old,0.0135882213094185,0.0098355632454136,0.00375265806400486,Tobago,Tobago
Sample02,ROX,15,Old,0.0144415361280017,0.0101834923958711,0.00425804373213063,Tobago,Tobago
Sample03,ROX,16,Old,0.0140913118916947,0.00998845755732126,0.00410285433437339,Tobago,Tobago
Sample04,ROX,17,Old,0.0137487638629862,0.00982564660750908,0.00392311725547717,Tobago,Tobago
Sample05,ROX,17,Old,0.0146471756869161,0.0106058335452914,0.00404134214162468,Tobago,Tobago
Sample01,SCR,11,Old,0.0114644614257301,0.00671388859811345,0.00475057282761669,Trinidad,Caroni
Sample02,SCR,11,Old,0.0116511828886248,0.00695662741708977,0.00469455547153505,Trinidad,Caroni
Sample03,SCR,14,Old,0.0113486667509162,0.00664400353848098,0.00470466321243523,Trinidad,Caroni
Sample04,SCR,16,Old,0.011423782002077,0.00734862509594979,0.00407515690612724,Trinidad,Caroni
Sample05,SCR,17,Old,0.011493357920978,0.00685972521030404,0.004633632710674,Trinidad,Caroni
