Population,Sample,Coverage,Batch,SynDerivedAlleles,Island,Total_LOF,Homozygotes_LOF,Heterozygotes_LOF,Total_LOF_Standardized,Homozygotes_LOF_Standardized,Heterozygotes_LOF_Standardized
LOP,Sample06,14,New,3167,Trinidad,14,4,10,0.00442058730659931,0.00126302494474266,0.00315756236185665
LOP,Sample07,14,New,2479,Trinidad,11,4,7,0.00443727309398951,0.00161355385235982,0.00282371924162969
LOP,Sample08,14,New,2795,Trinidad,12,4,8,0.00429338103756708,0.00143112701252236,0.00286225402504472
LOP,Sample09,15,New,2970,Trinidad,12,4,8,0.00404040404040404,0.00134680134680135,0.00269360269360269
LOP,Sample10,16,New,2973,Trinidad,9,6,3,0.00302724520686176,0.00201816347124117,0.00100908173562059
LOP,Sample11,16,New,2671,Trinidad,8,2,6,0.00299513290902284,0.00074878322725571,0.00224634968176713
LOP,Sample12,16,New,3437,Trinidad,11,6,5,0.00320046552225778,0.00174570846668606,0.00145475705557172
LOP,Sample13,17,New,3259,Trinidad,13,8,5,0.00398895366676895,0.00245474071801166,0.00153421294875729
LOP,Sample14,17,New,3069,Trinidad,14,6,8,0.00456174649723037,0.00195503421309873,0.00260671228413164
LOP,Sample15,20,New,3206,Trinidad,11,6,5,0.00343106674984404,0.00187149095446039,0.00155957579538366
LOP,Sample16,20,New,2879,Trinidad,14,8,6,0.00486279958318861,0.00277874261896492,0.00208405696422369
LOP,Sample17,20,New,3137,Trinidad,12,8,4,0.00382531080650303,0.00255020720433535,0.00127510360216768
LOP,Sample18,22,New,3343,Trinidad,13,8,5,0.00388872270415794,0.00239306012563566,0.00149566257852229
LOP,Sample19,36,New,3260,Trinidad,14,4,10,0.00429447852760736,0.00122699386503067,0.00306748466257669
LSA,Sample01,14,Old,4265,Trinidad,20,12,8,0.00468933177022274,0.00281359906213365,0.0018757327080891
LSA,Sample02,14,Old,4278,Trinidad,16,10,6,0.0037400654511454,0.00233754090696587,0.00140252454417952
LSA,Sample03,15,Old,4349,Trinidad,16,6,10,0.00367900666819959,0.00137962750057484,0.00229937916762474
LSA,Sample04,15,Old,4278,Trinidad,16,8,8,0.0037400654511454,0.0018700327255727,0.0018700327255727
LSA,Sample05,15,Old,4281,Trinidad,16,8,8,0.00373744452230787,0.00186872226115394,0.00186872226115394
LSA,Sample06,12,New,3829,Trinidad,17,10,7,0.00443980151475581,0.00261164794985636,0.00182815356489945
LSA,Sample07,14,New,4124,Trinidad,19,8,11,0.00460717749757517,0.00193986420950533,0.00266731328806984
LSA,Sample08,15,New,4084,Trinidad,16,10,6,0.0039177277179236,0.00244857982370225,0.00146914789422135
LSA,Sample09,15,New,4183,Trinidad,14,6,8,0.00334688022950036,0.00143437724121444,0.00191250298828592
LSA,Sample10,15,New,3393,Trinidad,14,8,6,0.00412614205717654,0.00235779546124374,0.0017683465959328
LSA,Sample11,16,New,4335,Trinidad,21,14,7,0.00484429065743945,0.00322952710495963,0.00161476355247982
LSA,Sample12,16,New,4302,Trinidad,20,16,4,0.00464900046490005,0.00371920037192004,0.000929800092980009
LSA,Sample13,16,New,4155,Trinidad,13,6,7,0.00312876052948255,0.00144404332129964,0.00168471720818291
LSA,Sample14,16,New,4365,Trinidad,19,12,7,0.00435280641466208,0.00274914089347079,0.00160366552119129
LSA,Sample15,17,New,2916,Trinidad,17,12,5,0.00582990397805213,0.00411522633744856,0.00171467764060357
LSA,Sample16,18,New,3259,Trinidad,17,12,5,0.00521632402577478,0.00368211107701749,0.00153421294875729
LSA,Sample17,19,New,4544,Trinidad,19,10,9,0.00418133802816901,0.00220070422535211,0.0019806338028169
LSA,Sample18,20,New,4227,Trinidad,18,10,8,0.0042583392476934,0.00236574402649633,0.00189259522119707
LSA,Sample19,20,New,4489,Trinidad,14,8,6,0.00311873468478503,0.00178213410559145,0.00133660057919358
ORO,Sample01,12,New,2677,Trinidad,5,0,5,0.0018677624206201,0,0.0018677624206201
ORO,Sample02,13,New,2386,Trinidad,9,2,7,0.00377200335289187,0.000838222967309304,0.00293378038558256
ORO,Sample03,13,New,2576,Trinidad,7,2,5,0.00271739130434783,0.00077639751552795,0.00194099378881988
ORO,Sample04,14,New,2674,Trinidad,6,0,6,0.00224382946896036,0,0.00224382946896036
ORO,Sample05,14,New,2773,Trinidad,7,0,7,0.00252434186801298,0,0.00252434186801298
ORO,Sample06,15,New,2273,Trinidad,11,2,9,0.00483941926968764,0.00087989441267048,0.00395952485701716
ORO,Sample07,15,New,2761,Trinidad,9,6,3,0.00325968851865266,0.00217312567910177,0.00108656283955089
ORO,Sample08,15,New,2078,Trinidad,5,0,5,0.00240615976900866,0,0.00240615976900866
ORO,Sample09,16,New,2474,Trinidad,10,2,8,0.00404203718674212,0.000808407437348424,0.00323362974939369
ORO,Sample10,16,New,2604,Trinidad,7,4,3,0.00268817204301075,0.00153609831029186,0.00115207373271889
ORO,Sample11,17,New,2596,Trinidad,8,2,6,0.00308166409861325,0.000770416024653313,0.00231124807395994
ORO,Sample12,17,New,2604,Trinidad,5,0,5,0.00192012288786482,0,0.00192012288786482
ORO,Sample13,19,New,2619,Trinidad,6,2,4,0.00229095074455899,0.000763650248186331,0.00152730049637266
QUA,Sample01,10,Old,1895,Trinidad,8,4,4,0.00422163588390501,0.00211081794195251,0.00211081794195251
QUA,Sample02,11,Old,1573,Trinidad,5,2,3,0.00317863954227591,0.00127145581691036,0.00190718372536554
QUA,Sample03,11,Old,1572,Trinidad,3,0,3,0.00190839694656489,0,0.00190839694656489
QUA,Sample04,15,Old,1696,Trinidad,5,2,3,0.00294811320754717,0.00117924528301887,0.0017688679245283
QUA,Sample05,18,Old,1793,Trinidad,9,4,5,0.00501952035694367,0.00223089793641941,0.00278862242052426
QUA,Sample06,10,Old,1598,Trinidad,5,2,3,0.00312891113892365,0.00125156445556946,0.00187734668335419
QUA,Sample07,12,Old,1596,Trinidad,9,4,5,0.0056390977443609,0.0025062656641604,0.0031328320802005
QUA,Sample08,13,Old,1791,Trinidad,6,2,4,0.0033500837520938,0.00111669458403127,0.00223338916806253
QUA,Sample09,13,Old,1903,Trinidad,7,4,3,0.00367840252233316,0.00210194429847609,0.00157645822385707
QUA,Sample10,13,Old,1497,Trinidad,7,6,1,0.00467601870407482,0.00400801603206413,0.000668002672010688
QUA,Sample11,14,New,1511,Trinidad,6,2,4,0.00397088021178028,0.00132362673726009,0.00264725347452019
QUA,Sample12,14,New,1357,Trinidad,6,2,4,0.00442151805453206,0.00147383935151069,0.00294767870302137
QUA,Sample13,16,New,1743,Trinidad,5,0,5,0.00286861732644865,0,0.00286861732644865
QUA,Sample14,16,New,1653,Trinidad,9,4,5,0.00544464609800363,0.00241984271022384,0.00302480338777979
QUA,Sample15,17,New,1698,Trinidad,8,4,4,0.00471142520612485,0.00235571260306243,0.00235571260306243
QUA,Sample16,17,New,1766,Trinidad,9,4,5,0.00509626274065685,0.00226500566251416,0.0028312570781427
QUA,Sample17,17,New,1760,Trinidad,6,2,4,0.00340909090909091,0.00113636363636364,0.00227272727272727
QUA,Sample18,17,New,1832,Trinidad,7,4,3,0.00382096069868996,0.00218340611353712,0.00163755458515284
QUA,Sample19,17,New,1650,Trinidad,6,4,2,0.00363636363636364,0.00242424242424242,0.00121212121212121
QUA,Sample20,19,New,1392,Trinidad,6,4,2,0.00431034482758621,0.0028735632183908,0.0014367816091954
QUA,Sample21,20,New,1324,Trinidad,8,4,4,0.00604229607250755,0.00302114803625378,0.00302114803625378
QUA,Sample22,28,New,1030,Trinidad,7,6,1,0.00679611650485437,0.0058252427184466,0.000970873786407767
ROX,Sample01,13,Old,12582,Tobago,51,40,11,0.00405340963280877,0.0031791448100461,0.000874264822762677
ROX,Sample02,15,Old,12398,Tobago,53,40,13,0.00427488304565252,0.00322632682690757,0.00104855621874496
ROX,Sample03,16,Old,11388,Tobago,44,26,18,0.00386371619248332,0.00228310502283105,0.00158061116965227
ROX,Sample04,17,Old,12442,Tobago,55,38,17,0.00442051117183733,0.00305417135508761,0.00136633981674972
ROX,Sample05,17,Old,12142,Tobago,49,40,9,0.00403557898204579,0.00329435018942514,0.000741228792620656
SCR,Sample01,11,Old,7493,Trinidad,25,10,15,0.0033364473508608,0.00133457894034432,0.00200186841051648
SCR,Sample02,11,Old,6617,Trinidad,26,18,8,0.00392927308447937,0.00272026598156264,0.00120900710291673
SCR,Sample03,14,Old,7012,Trinidad,24,10,14,0.00342270393610953,0.00142612664004564,0.00199657729606389
SCR,Sample04,16,Old,7720,Trinidad,28,12,16,0.00362694300518135,0.00155440414507772,0.00207253886010363
SCR,Sample05,17,Old,7689,Trinidad,25,14,11,0.00325139810118351,0.00182078293666276,0.00143061516452074
